1 2 3
2 4 5
4 6 7
6 8 9
8 10 11
3 5 12
5 7 13
7 9 14
9 11 15
12 13 16
13 14 17
14 15 18
16 17 19
17 18 20
19 20 21
2 3 5
4 5 7
6 7 9
8 9 11
5 12 13
7 13 14
9 14 15
13 16 17
14 17 18
17 19 20
1 3 22
3 12 23
12 16 24
16 19 25
19 21 26
22 23 27
23 24 28
24 25 29
25 26 30
27 28 31
28 29 32
29 30 33
31 32 34
32 33 35
34 35 36
3 22 23
12 23 24
16 24 25
19 25 26
23 27 28
24 28 29
25 29 30
28 31 32
29 32 33
32 34 35
1 22 37
22 27 38
27 31 39
31 34 40
34 36 41
37 38 42
38 39 43
39 40 44
40 41 45
42 43 46
43 44 47
44 45 48
46 47 49
47 48 50
49 50 51
22 37 38
27 38 39
31 39 40
34 40 41
38 42 43
39 43 44
40 44 45
43 46 47
44 47 48
47 49 50
1 37 52
37 42 53
42 46 54
46 49 55
49 51 56
52 53 57
53 54 58
54 55 59
55 56 60
57 58 61
58 59 62
59 60 63
61 62 64
62 63 65
64 65 66
37 52 53
42 53 54
46 54 55
49 55 56
53 57 58
54 58 59
55 59 60
58 61 62
59 62 63
62 64 65
